num,city,address,detail,type,gun,road,lat,lng
54,대구광역시,다사읍 세천로 182-9,도로(가로)변,일반쓰레기수거용,달성군,세천로,35.6774198,128.4554311
55,대구광역시,유가읍 테크노대로5길 57,도로(가로)변,일반쓰레기수거용,달성군,테크노대로,35.6973058,128.4476215
56,대구광역시,현풍읍 테크노상업로 20,도로(가로)변,일반쓰레기수거용,달성군,테크노상업로,35.6973058,128.4476215
57,대구광역시,현풍읍 테크노상업로 50,도로(가로)변,일반쓰레기수거용,달성군,테크노상업로,35.8042997,128.6233124
58,대구광역시,가창면 가창로 1124,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.8046237,128.6225315
59,대구광역시,가창면 가창로 1121,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.8025854,128.622956
60,대구광역시,가창면 가창로 1100,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.7896875,128.6345625
61,대구광역시,가창면 가창로176길 27,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.7965826,128.6258951
62,대구광역시,가창면 가창로 1025,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.7963109,128.6277085
63,대구광역시,가창면 가창로 1008,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.7871594,128.638724
64,대구광역시,가창면 냉천리 38-4,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.7687811,128.6481999
65,대구광역시,가창면 가창로123길 2,도로(가로)변,일반쓰레기수거용,달성군,가창로,35.8802459,128.3994817
66,대구광역시,하빈면 하목정2길 3,도로(가로)변,일반쓰레기수거용,달성군,하목정2길,35.882567,128.4077494
67,대구광역시,하빈면 하산리 672,도로(가로)변,일반쓰레기수거용,달성군,하산길,35.8779107,128.4174824
68,대구광역시,하빈면 동곡리 124-1,도로(가로)변,일반쓰레기수거용,달성군,달구벌대로,35.8609935,128.4081028
69,대구광역시,하빈면 하빈남로 249,도로(가로)변,일반쓰레기수거용,달성군,하빈남로,35.9046906,128.4206175
70,대구광역시,하빈면 묘리 715,도로(가로)변,일반쓰레기수거용,달성군,묘동길,35.8865043,128.4217541
71,대구광역시,하빈면 감문리 813-2,도로(가로)변,일반쓰레기수거용,달성군,하빈로,35.7904194,128.4709446
72,대구광역시,옥포읍 비슬로 2283,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7893104,128.4638592
73,대구광역시,옥포읍 비슬로 2215,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.755588,128.4938942
74,대구광역시,옥포읍 반송리 170-1,도로(가로)변,일반쓰레기수거용,달성군,용연사길,35.7874518,128.4645718
75,대구광역시,옥포읍 비슬로 2220,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7793706,128.4318737
76,대구광역시,옥포읍 비슬로 1900-1,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7481597,128.5211241
77,대구광역시,옥포읍 용연사길 260,도로(가로)변,일반쓰레기수거용,달성군,용연사길,35.7896321,128.463792
78,대구광역시,옥포읍 돌미로5길 15,도로(가로)변,일반쓰레기수거용,달성군,돌미로,35.7896321,128.463792
79,대구광역시,옥포읍 돌미로 49,도로(가로)변,일반쓰레기수거용,달성군,돌미로,35.649423,128.4377217
80,대구광역시,구지면 구지동로10길 3,도로(가로)변,일반쓰레기수거용,달성군,구지동로,35.6587707,128.4135612
81,대구광역시,구지면 창리로11길 38,도로(가로)변,일반쓰레기수거용,달성군,창리로,35.6594436,128.4134255
82,대구광역시,구지면 창리로11길 51,도로(가로)변,일반쓰레기수거용,달성군,창리로,35.6297715,128.4025733
83,대구광역시,구지면 대암리 180,도로(가로)변,일반쓰레기수거용,달성군,대암내길,35.6554993,128.4147205
84,대구광역시,구지면 과학마을로2길 5-22,도로(가로)변,일반쓰레기수거용,달성군,과학마을로,35.6545437,128.417368
85,대구광역시,구지면 과학마을로4길 49,도로(가로)변,일반쓰레기수거용,달성군,과학마을로,35.6490215,128.4189419
86,대구광역시,구지면 응암리 1232,도로(가로)변,일반쓰레기수거용,달성군,국가산단대로,35.6520683,128.4131816
